Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Angola,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.025,0.049,0.067,0.436,2.208,4.458,10.656,20.289,26.363,36.401,41.38,42.033,49.218,40.659,52.926,68.315,71.893,72.659,73.879,70.546,85.026,102.33,133.623,154.715,172.678,183.797,191.541,197.782,204.465,2018
Angola,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2018 Notes: Historical consumer price index (CPI) and inflation are measured by Angola's national CPI (IPCN) from January 2015 and by the Luanda province CPI up to December 2014. Harmonized prices: No Frequency of source data: Monthly Base year: 2010. Although the base year is reported as 2010, we are currently using December 2010 (=100) as the base month. Primary domestic currency: Angolan kwanza Data last updated: 08/2019",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.027,0.088,0.183,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,301.218,353.061,406.025,445.75,476.51,505.101,535.407,2018
Angola,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,"1,379.48",949.771,"2,672.23","4,146.01",221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,19.629,17.211,15.001,9.784,6.901,6,6,2018
Angola,"Inflation, end of period consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2018 Notes: Historical consumer price index (CPI) and inflation are measured by Angola's national CPI (IPCN) from January 2015 and by the Luanda province CPI up to December 2014. Harmonized prices: No Frequency of source data: Monthly Base year: 2010. Although the base year is reported as 2010, we are currently using December 2010 (=100) as the base month. Primary domestic currency: Angolan kwanza Data last updated: 08/2019",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.003,0.048,0.119,0.278,1.195,4.401,9.508,19.548,34.514,45.217,53.596,60.139,67.221,76.074,86.714,100,111.376,121.447,130.782,140.588,157.587,222.395,275.028,326.194,381.647,427.445,461.641,489.339,518.699,549.821,2018
Angola,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,175.72,495.793,"1,837.87",971.954,"3,783.92","1,650.83",149.621,134.809,329.001,268.35,116.068,105.59,76.56,31.013,18.53,12.207,11.776,13.17,13.987,15.322,11.376,9.042,7.687,7.498,12.091,41.125,23.667,18.604,17,12,8,6,6,6,2018
Angola,Current account balance,U.S. dollars,Billions,"Source: Central Bank. National Bank of Angola Latest actual data: 2018 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Angolan kwanza Data last updated: 08/2019",0.07,-0.183,-0.494,-0.359,-0.171,0.195,-0.303,0.447,-0.469,-0.132,-0.236,-0.58,-0.735,-0.669,-0.34,-0.295,3.266,-0.884,-1.867,-1.71,0.796,-1.431,-0.15,-0.72,0.681,5.138,10.69,10.581,7.194,-7.572,7.506,13.085,13.853,8.348,-3.748,-10.273,-4.848,-0.633,6.423,0.847,-0.642,-0.398,-0.504,-0.644,-0.982,2018
Angola,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",1.051,-2.947,-7.958,-5.549,-2.488,2.306,-3.827,4.939,-4.777,-1.156,-1.873,-4.756,-7.821,-9.804,-6.843,-4.761,40.863,-9.412,-23.462,-22.728,7.125,-13.092,-0.982,-4.04,2.892,13.897,20.408,16.212,8.126,-10.769,8.957,11.705,10.818,6.107,-2.572,-8.841,-4.794,-0.518,6.065,0.925,-0.722,-0.43,-0.519,-0.623,-0.901,2018
Benin,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",140.291,108.642,116.556,125.702,135.014,134.486,126.333,127.801,123.135,120.662,111.871,109.03,109.825,109.835,145.209,163.702,171.863,175.146,182.257,196.85,200.904,200.466,204.358,206.775,202.904,205.224,203.367,198.82,207.575,211.236,210.642,214.035,226.175,225.381,220.737,220.323,219.556,214.704,211.003,206.183,204.505,204.854,205.104,205.48,205.681,2018
Benin,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2014 Primary domestic currency: CFA franc Data last updated: 09/2019,28.695,28.924,30.098,28.272,31.174,31.532,31.663,31.239,32.315,32.25,32.608,33.293,35.264,35.421,49.071,56.166,58.927,61.169,64.689,64.914,67.58,70.04,71.868,73.133,74.001,77.461,82.384,83.367,89.008,89.363,91.31,93.808,100.134,101.103,100.009,100.219,99.423,101.182,102.041,101.751,102.775,104.835,106.937,109.081,111.269,2018
Benin,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.596,0.795,4.059,-6.067,10.265,1.151,0.414,-1.339,3.445,-0.202,1.112,2.1,5.921,0.445,38.535,14.458,4.917,3.803,5.755,0.348,4.107,3.641,2.61,1.76,1.187,4.676,6.355,1.194,6.767,0.398,2.179,2.736,6.743,0.969,-1.083,0.21,-0.794,1.769,0.849,-0.284,1.006,2.005,2.005,2.005,2.006,2018
Benin,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2014 Primary domestic currency: CFA franc Data last updated: 09/2019,29.292,29.525,30.723,28.859,31.821,32.188,32.321,31.888,32.986,32.92,33.286,33.985,34.838,35.844,55.203,56.927,60.863,62.345,66.338,64.176,70.001,71.425,72.646,73.461,75.482,77.903,83.781,84.016,90.223,89.809,93.417,95.124,101.564,99.697,98.938,101.199,98.405,101.315,101.18,101.736,102.875,105.053,107.277,109.549,111.868,2018
Benin,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,0.795,4.059,-6.067,10.265,1.151,0.414,-1.339,3.445,-0.202,1.112,2.1,2.51,2.888,54.008,3.124,6.914,2.435,6.404,-3.259,9.077,2.034,1.709,1.123,2.751,3.208,7.546,0.28,7.389,-0.459,4.018,1.827,6.77,-1.838,-0.761,2.285,-2.761,2.957,-0.133,0.549,1.119,2.117,2.117,2.117,2.117,2018
Benin,Current account balance,U.S. dollars,Billions,"Source: Central Bank Latest actual data: 2017 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: CFA franc Data last updated: 09/2019",-0.108,-0.264,-0.322,-0.159,-0.053,-0.048,-0.095,-0.103,-0.138,-0.028,-0.043,-0.057,-0.104,-0.098,-0.04,-0.133,-0.093,-0.16,-0.133,-0.181,-0.124,-0.1,-0.206,-0.301,-0.272,-0.283,-0.233,-0.561,-0.538,-0.59,-0.574,-0.57,-0.604,-0.768,-0.961,-0.833,-0.808,-0.929,-0.862,-0.877,-0.893,-0.936,-1,-1.044,-1.12,2017
Benin,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-4.672,-16.923,-20.877,-11.655,-3.66,-3.047,-4.654,-4.238,-5.419,-1.201,-1.488,-1.93,-3.172,-3.063,-1.812,-4.457,-2.858,-5.131,-3.971,-4.91,-3.527,-2.727,-4.91,-5.626,-4.394,-4.314,-3.309,-6.865,-5.5,-6.063,-6.019,-5.332,-5.419,-6.132,-7.228,-7.313,-6.84,-7.313,-6.038,-6.104,-5.77,-5.487,-5.338,-5.081,-4.963,2017
Botswana,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0.488,0.43,0.447,0.463,0.547,0.653,0.686,0.783,0.954,0.974,0.931,0.958,1.03,1.114,1.247,1.309,1.493,1.545,1.675,1.887,2.107,2.233,2.224,2.255,2.417,2.707,2.824,2.885,2.964,3.132,3.372,3.764,3.7,3.721,4.088,4.121,4.566,4.599,4.531,4.536,4.598,4.753,4.877,4.999,5.12,2018
Botswana,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: No Frequency of source data: Monthly Base year: 2000 Primary domestic currency: Botswana pula Data last updated: 09/2019,13.362,15.54,17.28,19.094,20.737,22.416,24.658,27.074,29.349,32.753,36.487,41.084,47.863,54.755,60.56,66.918,73.677,80.234,85.457,92.137,100,106.565,115.119,125.692,134.475,146.054,162.928,174.459,196.481,212.412,227.174,246.422,264.996,280.583,292.97,301.918,310.401,320.632,331.023,340.866,352.743,365.618,380.243,395.453,411.271,2018
Botswana,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.127,16.3,11.2,10.5,8.6,8.1,10,9.8,8.4,11.6,11.4,12.6,16.5,14.4,10.6,10.5,10.1,8.9,6.51,7.816,8.534,6.565,8.026,9.185,6.988,8.61,11.553,7.077,12.623,8.108,6.95,8.473,7.537,5.882,4.415,3.054,2.81,3.296,3.241,2.974,3.484,3.65,4,4,4,2018
Botswana,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: No Frequency of source data: Monthly Base year: 2000 Primary domestic currency: Botswana pula Data last updated: 09/2019,13.877,15.903,17.923,19.411,20.673,22.822,25.287,27.336,30.178,33.589,37.619,42.359,49.349,55.616,61.066,67.661,74.157,79.941,85.029,92.183,100,105.752,116.962,124.41,134.226,149.373,162.103,175.3,199.277,210.927,226.557,247.343,265.732,276.544,286.914,295.808,304.64,314.34,325.465,334.403,346.055,358.686,373.034,387.955,403.473,2018
Botswana,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,14.6,12.7,8.3,6.5,10.4,10.8,8.1,10.4,11.3,12,12.6,16.5,12.7,9.8,10.8,9.6,7.8,6.365,8.413,8.48,5.752,10.6,6.368,7.89,11.285,8.522,8.141,13.678,5.846,7.41,9.175,7.435,4.068,3.75,3.1,2.986,3.184,3.539,2.746,3.484,3.65,4,4,4,2018
Botswana,Current account balance,U.S. dollars,Billions,"Source: Central Bank Latest actual data: 2018 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Botswana pula Data last updated: 09/2019",-0.151,-0.304,-0.145,-0.079,-0.059,0.082,0.109,0.628,0.194,0.492,-0.019,0.303,0.198,0.427,0.222,0.3,0.495,0.721,0.17,0.583,0.545,0.678,0.286,0.683,0.351,1.634,1.957,1.652,-0.12,-0.648,-0.356,0.475,0.046,1.322,2.496,1.121,1.214,0.928,0.345,-0.554,-0.205,0.078,0.35,0.559,0.685,2018
Botswana,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-12.85,-29.265,-13.21,-6.527,-4.892,7.327,7.166,26.454,6.287,14.283,-0.507,7.959,5.028,10.78,5.201,6.333,10.14,14.359,3.522,10.638,9.395,12.299,5.246,9.066,3.913,16.318,19.234,15.097,-1.093,-6.31,-2.785,3.088,0.284,8.865,15.352,7.758,7.752,5.338,1.855,-2.964,-1.044,0.372,1.623,2.503,2.964,2018
